r,y,e,u,d
[359.0 0.0 0.0],[359.5863 0.004541814 3.230001E-05],[-0.5862732 -0.004541814 -3.230001E-05],[-0.002724599 0.0 0.0],[0.0 0.0 0.0]
[359.0 0.0 0.0],[359.5865 0.004541814 3.230001E-05],[-0.5864868 -0.004541814 -3.230001E-05],[-0.00272192 0.0 0.0],[0.0 0.0 0.0]
[359.0 0.0 0.0],[359.5867 0.004541812 3.23001E-05],[-0.5866699 -0.004541812 -3.23001E-05],[-0.002719252 0.0 0.0],[0.0 0.0 0.0]
[359.0 0.0 0.0],[359.5869 0.004541813 3.230007E-05],[-0.586853 -0.004541813 -3.230007E-05],[-0.002720026 0.0 0.0],[0.0 0.0 0.0]
[359.0 0.0 0.0],[359.587 0.004541813 3.230009E-05],[-0.5869751 -0.004541813 -3.230009E-05],[-0.002713908 0.0 0.0],[0.0 0.0 0.0]
[359.0 0.0 0.0],[359.5871 0.004541814 3.229964E-05],[-0.5870667 -0.004541814 -3.229964E-05],[-0.002711187 0.0 0.0],[0.0 0.0 0.0]
[359.0 0.0 0.0],[359.5871 0.004541812 3.230013E-05],[-0.5871277 -0.004541812 -3.230013E-05],[-0.002708419 0.0 0.0],[0.0 0.0 0.0]
[359.0 0.0 0.0],[359.5872 0.004541812 3.229995E-05],[-0.5871582 -0.004541812 -3.229995E-05],[-0.002705592 0.0 0.0],[0.0 0.0 0.0]
[359.0 0.0 0.0],[359.5872 0.004541813 3.229997E-05],[-0.5871582 -0.004541813 -3.229997E-05],[-0.002702697 0.0 0.0],[0.0 0.0 0.0]
[359.0 0.0 0.0],[359.5871 0.004541813 3.22995E-05],[-0.5871277 -0.004541813 -3.22995E-05],[-0.002699727 0.0 0.0],[0.0 0.0 0.0]
[359.0 0.0 0.0],[359.5871 0.004541813 3.230012E-05],[-0.5870667 -0.004541813 -3.230012E-05],[-0.002696674 0.0 0.0],[0.0 0.0 0.0]
[359.0 0.0 0.0],[359.587 0.004541814 3.229968E-05],[-0.5869751 -0.004541814 -3.229968E-05],[-0.002693531 0.0 0.0],[0.0 0.0 0.0]
[359.0 0.0 0.0],[359.5869 0.004541814 3.230009E-05],[-0.586853 -0.004541814 -3.230009E-05],[-0.002690294 0.0 0.0],[0.0 0.0 0.0]
[359.0 0.0 0.0],[359.5867 0.004541814 3.230008E-05],[-0.586731 -0.004541814 -3.230008E-05],[-0.002690406 0.0 0.0],[0.0 0.0 0.0]
[359.0 0.0 0.0],[359.5866 0.004541812 3.229995E-05],[-0.5866089 -0.004541812 -3.229995E-05],[-0.002690444 0.0 0.0],[0.0 0.0 0.0]
[359.0 0.0 0.0],[359.5865 0.004541812 3.229993E-05],[-0.5864563 -0.004541812 -3.229993E-05],[-0.002686964 0.0 0.0],[0.0 0.0 0.0]
[359.0 0.0 0.0],[359.5863 0.004541812 3.229976E-05],[-0.5862732 -0.004541812 -3.229976E-05],[-0.002683396 0.0 0.0],[0.0 0.0 0.0]
[359.0 0.0 0.0],[359.5861 0.004541813 3.229975E-05],[-0.5861206 -0.004541813 -3.229975E-05],[-0.002686633 0.0 0.0],[0.0 0.0 0.0]
[359.0 0.0 0.0],[359.586 0.004541813 3.229994E-05],[-0.585968 -0.004541813 -3.229994E-05],[-0.00268638 0.0 0.0],[0.0 0.0 0.0]
[359.0 0.0 0.0],[359.5858 0.004541814 3.230014E-05],[-0.5858154 -0.004541814 -3.230014E-05],[-0.002686076 0.0 0.0],[0.0 0.0 0.0]
[359.0 0.0 0.0],[359.5857 0.004541811 3.230021E-05],[-0.5856628 -0.004541811 -3.230021E-05],[-0.002685728 0.0 0.0],[0.0 0.0 0.0]
[359.0 0.0 0.0],[359.5855 0.004541812 3.230018E-05],[-0.5855103 -0.004541812 -3.230018E-05],[-0.002685341 0.0 0.0],[0.0 0.0 0.0]
[359.0 0.0 0.0],[359.5854 0.004541812 3.229996E-05],[-0.5853882 -0.004541812 -3.229996E-05],[-0.002688369 0.0 0.0],[0.0 0.0 0.0]
[359.0 0.0 0.0],[359.5853 0.004541813 3.229972E-05],[-0.5852661 -0.004541813 -3.229972E-05],[-0.002687944 0.0 0.0],[0.0 0.0 0.0]
[359.0 0.0 0.0],[359.5852 0.004541812 3.229994E-05],[-0.5851746 -0.004541812 -3.229994E-05],[-0.002690955 0.0 0.0],[0.0 0.0 0.0]
[359.0 0.0 0.0],[359.5851 0.004541812 3.229994E-05],[-0.585083 -0.004541812 -3.229994E-05],[-0.002690531 0.0 0.0],[0.0 0.0 0.0]
[359.0 0.0 0.0],[359.585 0.004541813 3.229993E-05],[-0.585022 -0.004541813 -3.229993E-05],[-0.002693558 0.0 0.0],[0.0 0.0 0.0]
