r,y,e,u,d
-1.0,-0.413726806640625,-0.586273193359375,-0.00272459908877235,0.0
-1.0,-0.41351318359375,-0.58648681640625,-0.00272192044490613,0.0
-1.0,-0.413330078125,-0.586669921875,-0.00271925159069249,0.0
-1.0,-0.41314697265625,-0.58685302734375,-0.00272002623786063,0.0
-1.0,-0.41302490234375,-0.58697509765625,-0.00271390772295571,0.0
-1.0,-0.412933349609375,-0.587066650390625,-0.00271118742040828,0.0
-1.0,-0.412872314453125,-0.587127685546875,-0.00270841895157711,0.0
-1.0,-0.412841796875,-0.587158203125,-0.00270559202590962,0.0
-1.0,-0.412841796875,-0.587158203125,-0.00270269749728595,0.0
-1.0,-0.412872314453125,-0.587127685546875,-0.00269972723674426,0.0
-1.0,-0.412933349609375,-0.587066650390625,-0.00269667401936064,0.0
-1.0,-0.41302490234375,-0.58697509765625,-0.00269353142370923,0.0
-1.0,-0.41314697265625,-0.58685302734375,-0.00269029374250364,0.0
-1.0,-0.41326904296875,-0.58673095703125,-0.00269040635085201,0.0
-1.0,-0.41339111328125,-0.58660888671875,-0.0026904438469229,0.0
-1.0,-0.413543701171875,-0.586456298828125,-0.00268696413642515,0.0
-1.0,-0.413726806640625,-0.586273193359375,-0.00268339553714104,0.0
-1.0,-0.41387939453125,-0.58612060546875,-0.00268663318269984,0.0
-1.0,-0.414031982421875,-0.585968017578125,-0.00268637971768775,0.0
-1.0,-0.4141845703125,-0.5858154296875,-0.00268607620491971,0.0
-1.0,-0.414337158203125,-0.585662841796875,-0.00268572821030554,0.0
-1.0,-0.41448974609375,-0.58551025390625,-0.00268534068075924,0.0
-1.0,-0.41461181640625,-0.58538818359375,-0.00268836846071464,0.0
-1.0,-0.41473388671875,-0.58526611328125,-0.00268794411688768,0.0
-1.0,-0.414825439453125,-0.585174560546875,-0.00269095482397146,0.0
-1.0,-0.4149169921875,-0.5850830078125,-0.0026905309532008,0.0
-1.0,-0.41497802734375,-0.58502197265625,-0.0026935577279515,0.0
9.999999,-0.4150390625,10.4150381088257,0.00294684493210752,0.0
9.999999,-0.414276123046875,10.4142751693726,0.00786683647572237,0.0
9.999999,-0.411285400390625,10.4112844467163,0.0120698180352356,0.0
9.999999,-0.404266357421875,10.4042654037476,0.0155712402851361,0.0
9.999999,-0.390960693359375,10.3909597396851,0.0183718422223915,0.0
9.999999,-0.369110107421875,10.3691091537476,0.0205169149070298,0.0
9.999999,-0.33636474609375,10.3363637924194,0.0220352032534928,0.0
9.999999,-0.290374755859375,10.2903738021851,0.0229602089900775,0.0
9.999999,-0.2291259765625,10.2291250228882,0.0233584581401711,0.0
9.999999,-0.1507568359375,10.1507558822632,0.0232717168538941,0.0
9.999999,-0.053802490234375,10.0538015365601,0.0227657436770977,0.0
9.999999,0.0628491938114166,9.93714985251427,0.0218984253809842,0.0
9.999999,0.199871689081192,9.80012735724449,0.0207349544246666,0.0
9.999999,0.357486546039581,9.6425125002861,0.0193401428990294,0.0
9.999999,0.535465478897095,9.46453356742859,0.0177771340107273,0.0
9.999999,0.733133256435394,9.26686578989029,0.0161077001648927,0.0
9.999999,0.949386894702911,9.05061215162277,0.0143907437502084,0.0
9.999999,1.18272566795349,8.81727337837219,0.012681362406086,0.0
9.999999,1.43129050731659,8.56870853900909,0.0110300236359878,0.0
9.999999,1.69291114807129,8.30708789825439,0.00948187401927223,0.0
9.999999,1.96515989303589,8.03483915328979,0.00807612815436291,0.0
9.999999,2.24540853500366,7.75459051132202,0.00684580265706893,0.0
9.999999,2.53088974952698,7.46910929679871,0.00581726113255717,0.0
9.999999,2.81875920295715,7.18123984336853,0.00501014459311071,0.0
9.999999,3.10615539550781,6.89384365081787,0.00443760540786405,0.0
