position,rotation,velocity,angular_velocity
[-3.429763 0.1000907 -23.5451],[0.9994026 -0.03428653 0.00433919 8.861689E-07],[-0.3954093 0.0 -1.039911],[0.0069452 -9.641825E-05 -0.001434131]
[-3.437609 0.1000907 -23.56599],[0.9994048 -0.03422347 0.004338761 -1.190649E-05],[-0.3923044 0.0 -1.04493],[0.006303815 -8.769159E-05 -0.001304392]
[-3.445394 0.1000907 -23.58699],[0.9994068 -0.03416641 0.004338372 -2.350285E-05],[-0.3892192 0.0 -1.049884],[0.005704111 -7.94954E-05 -0.001182368]
[-3.453117 0.1000907 -23.60809],[0.9994085 -0.0341151 0.00433802 -3.397951E-05],[-0.3861541 0.0 -1.054777],[0.005129785 -7.180304E-05 -0.001068102]
[-3.460779 0.1000907 -23.62928],[0.9994102 -0.03406915 0.004337704 -4.339957E-05],[-0.3831094 0.0 -1.059611],[0.004593346 -6.455139E-05 -0.0009602979]
[-3.468381 0.1000907 -23.65057],[0.9994115 -0.03402821 0.004337421 -5.184107E-05],[-0.3800852 0.0 -1.064388],[0.004092619 -5.784566E-05 -0.0008604387]
[-3.475922 0.1000907 -23.67195],[0.9994128 -0.03399195 0.004337168 -5.937505E-05],[-0.3770819 0.0 -1.069111],[0.00362494 -5.163074E-05 -0.0007678161]
[-3.483404 0.1000907 -23.69342],[0.9994138 -0.03395992 0.004336943 -6.60741E-05],[-0.3740996 0.0 -1.073781],[0.003201814 -4.58904E-05 -0.000682633]
[-3.490827 0.1000907 -23.71499],[0.9994148 -0.03393178 0.004336745 -7.200211E-05],[-0.3711385 0.0 -1.078403],[0.002813288 -4.059957E-05 -0.0006039775]
[-3.498191 0.1000907 -23.73665],[0.9994156 -0.03390722 0.004336569 -7.722685E-05],[-0.3681988 0.0 -1.082976],[0.002455717 -3.577085E-05 -0.0005322209]
[-3.505497 0.1000907 -23.7584],[0.9994164 -0.03388588 0.004336416 -8.180696E-05],[-0.3652805 0.0 -1.087503],[0.002132954 -3.135204E-05 -0.0004664706]
[-3.512744 0.1000907 -23.78024],[0.9994169 -0.03386745 0.004336282 -8.581251E-05],[-0.3623837 0.0 -1.091986],[0.00184201 -2.741232E-05 -0.0004078521]
[-3.519935 0.1000907 -23.80217],[0.9994175 -0.03385165 0.004336165 -8.929359E-05],[-0.3595085 0.0 -1.096426],[0.001579551 -2.381586E-05 -0.0003543574]
[-3.527068 0.1000907 -23.82419],[0.999418 -0.03383816 0.004336064 -9.230365E-05],[-0.356655 0.0 -1.100824],[0.001348389 -2.058821E-05 -0.0003063338]
[-3.534144 0.1000907 -23.84629],[0.9994184 -0.03382663 0.004335977 -9.489117E-05],[-0.353823 0.0 -1.105182],[0.001152676 -1.768949E-05 -0.0002633047]
[-3.541164 0.1000907 -23.86848],[0.9994187 -0.03381696 0.004335904 -9.709369E-05],[-0.3510127 0.0 -1.1095],[0.0009669854 -1.504387E-05 -0.0002240664]
[-3.548129 0.1000907 -23.89076],[0.999419 -0.03380886 0.004335842 -9.894602E-05],[-0.348224 0.0 -1.11378],[0.0008093418 -1.265254E-05 -0.0001884246]
[-3.555038 0.1000907 -23.91312],[0.9994192 -0.0338021 0.00433579 -0.0001004901],[-0.3454569 0.0 -1.118023],[0.0006763492 -1.053468E-05 -0.0001570709]
[-3.561892 0.1000907 -23.93556],[0.9994194 -0.03379653 0.004335748 -0.0001017423],[-0.3427113 0.0 -1.122229],[0.0005566444 -8.524243E-06 -0.0001274253]
[-3.568692 0.1000907 -23.95809],[0.9994195 -0.03379204 0.004335715 -0.0001027351],[-0.3399871 0.0 -1.126399],[0.0004475867 -6.755969E-06 -0.0001010541]
[-3.575438 0.1000907 -23.9807],[0.9994197 -0.03378852 0.004335691 -0.0001034738],[-0.3372844 0.0 -1.130534],[0.0003529885 -5.019001E-06 -7.526716E-05]
[-3.58213 0.1000907 -24.00339],[0.9994197 -0.03378582 0.004335674 -0.0001039729],[-0.334603 0.0 -1.134635],[0.0002696855 -3.38584E-06 -5.100082E-05]
[-3.588768 0.1000907 -24.02617],[0.9994197 -0.03378387 0.004335666 -0.0001042485],[-0.3319429 0.0 -1.138702],[0.0001947091 -1.853306E-06 -2.835601E-05]
[-3.595355 0.1000907 -24.04902],[0.9994198 -0.03378269 0.004335664 -0.0001043081],[-0.3293039 0.0 -1.142735],[0.0001181268 -3.810682E-07 -6.465938E-06]
[-3.601888 0.1000907 -24.07195],[0.9994198 -0.03378224 0.00433567 -0.0001041486],[-0.326686 0.0 -1.146736],[4.46353E-05 1.106629E-06 1.572702E-05]
[-3.60837 0.1000907 -24.09497],[0.9994198 -0.03378252 0.004335683 -0.00010377],[-0.3240891 0.0 -1.150705],[-2.801104E-05 2.600071E-06 3.791804E-05]
[-3.6148 0.1000907 -24.11806],[0.9994197 -0.03378355 0.004335703 -0.0001031664],[-0.3215131 0.0 -1.154642],[-0.0001021198 4.126662E-06 6.069629E-05]
[-3.621179 0.1000907 -24.14123],[0.9994197 -0.03378534 0.004335732 -0.0001023316],[-0.3189579 0.0 -1.158548],[-0.0001793423 5.703869E-06 8.411794E-05]
[-3.627508 0.1000907 -24.16448],[0.9994196 -0.03378789 0.004335769 -0.0001012518],[-0.3164236 0.0 -1.162423],[-0.0002545575 7.385251E-06 0.0001088981]
[-3.633786 0.1000907 -24.18781],[0.9994195 -0.03379126 0.004335814 -9.992819E-05],[-0.3139099 0.0 -1.166268],[-0.0003363103 9.047463E-06 0.0001335897]
[-3.640015 0.1000907 -24.21121],[0.9994194 -0.03379553 0.004335859 -9.858145E-05],[-0.3114169 0.0 -1.170084],[-0.0004265508 9.225302E-06 0.0001362911]
[-3.646194 0.1000907 -24.23468],[0.9994192 -0.03380079 0.004335891 -9.762955E-05],[-0.3089443 0.0 -1.173871],[-0.0005260318 6.576099E-06 9.730492E-05]
[-3.652323 0.1000907 -24.25824],[0.999419 -0.03380707 0.004335891 -9.766169E-05],[-0.3064919 0.0 -1.17763],[-0.0006285408 -5.023369E-08 -4.875228E-07]
[-3.658404 0.1000907 -24.28186],[0.9994187 -0.03381448 0.004335831 -9.942806E-05],[-0.3040591 0.0 -1.181361],[-0.0007423211 -1.174721E-05 -0.0001731208]
[-3.664437 0.1000907 -24.30556],[0.9994184 -0.03382306 0.004335683 -0.0001038043],[-0.3016451 0.0 -1.185065],[-0.0008607976 -2.936927E-05 -0.0004331481]
[-3.670422 0.1000907 -24.32934],[0.9994181 -0.03383287 0.004335414 -0.0001117661],[-0.2992487 0.0 -1.188743],[-0.0009847757 -5.360394E-05 -0.0007905628]
[-3.67636 0.1000907 -24.35319],[0.9994177 -0.03384396 0.004334988 -0.0001243626],[-0.2968684 0.0 -1.192395],[-0.00111507 -8.493143E-05 -0.001252665]
[-3.68225 0.1000907 -24.37711],[0.9994173 -0.03385646 0.004334368 -0.0001426654],[-0.2945023 0.0 -1.196023],[-0.001257971 -0.0001235208 -0.001821716]
[-3.688093 0.1000907 -24.4011],[0.9994168 -0.03387034 0.004333518 -0.000167785],[-0.292148 0.0 -1.199626],[-0.001399691 -0.0001696188 -0.002501601]
[-3.693889 0.1000907 -24.42516],[0.9994163 -0.03388573 0.004332399 -0.0002008253],[-0.2898028 0.0 -1.203206],[-0.001554714 -0.0002232332 -0.003291652]
[-3.699638 0.1000907 -24.4493],[0.9994158 -0.03390262 0.004330976 -0.0002428516],[-0.2874635 0.0 -1.206763],[-0.0017078 -0.0002840674 -0.004188045]
[-3.70534 0.1000907 -24.47351],[0.9994152 -0.03392105 0.004329214 -0.0002948783],[-0.2851266 0.0 -1.210299],[-0.00186672 -0.0003518069 -0.005185689]
[-3.710996 0.1000907 -24.49778],[0.9994144 -0.03394093 0.004327079 -0.0003578581],[-0.2827881 0.0 -1.213813],[-0.002016303 -0.0004260279 -0.006278479]
[-3.716605 0.1000907 -24.52213],[0.9994137 -0.0339623 0.004324545 -0.0004326315],[-0.2804438 0.0 -1.217307],[-0.002171064 -0.0005059708 -0.007455135]
[-3.722167 0.1000907 -24.54654],[0.9994129 -0.0339852 0.004321584 -0.0005199604],[-0.2780893 0.0 -1.220782],[-0.002329458 -0.0005911312 -0.008707844]
[-3.727681 0.1000907 -24.57103],[0.999412 -0.03400953 0.004318177 -0.00062045],[-0.2757195 0.0 -1.224238],[-0.0024779 -0.0006804409 -0.01002102]
[-3.733148 0.1000907 -24.59558],[0.999411 -0.03403524 0.004314305 -0.0007345949],[-0.2733297 0.0 -1.227675],[-0.002622561 -0.0007731624 -0.01138356]
[-3.738566 0.1000907 -24.6202],[0.99941 -0.03406223 0.004309956 -0.0008627537],[-0.2709145 0.0 -1.231096],[-0.002755995 -0.0008683707 -0.01278197]
[-3.743936 0.1000907 -24.64489],[0.999409 -0.03409052 0.004305124 -0.001005139],[-0.2684688 0.0 -1.2345],[-0.002892283 -0.0009650703 -0.01420162]
[-3.749255 0.1000907 -24.66965],[0.9994078 -0.03411998 0.004299805 -0.001161796],[-0.2659872 0.0 -1.237888],[-0.003016472 -0.001062133 -0.01562572]
[-3.754525 0.1000907 -24.69448],[0.9994066 -0.0341505 0.004294004 -0.001332625],[-0.2634645 0.0 -1.24126],[-0.003128494 -0.001158606 -0.01704003]
[-3.759743 0.1000907 -24.71937],[0.9994053 -0.03418202 0.004287728 -0.001517379],[-0.2608956 0.0 -1.244618],[-0.003234932 -0.001253449 -0.01842956]
[-3.764908 0.1000907 -24.74433],[0.999404 -0.03421442 0.00428099 -0.001715664],[-0.2582752 0.0 -1.247961],[-0.003328278 -0.001345703 -0.01978006]
[-3.77002 0.1000907 -24.76936],[0.9994025 -0.03424749 0.004273807 -0.001926953],[-0.2555987 0.0 -1.25129],[-0.003401703 -0.001434448 -0.02107782]
[-3.775078 0.1000907 -24.79445],[0.9994008 -0.03428117 0.004266201 -0.002150595],[-0.2528614 0.0 -1.254606],[-0.003468842 -0.001518816 -0.0223107]
[-3.780079 0.1000907 -24.81961],[0.9993991 -0.03431534 0.004258201 -0.002385769],[-0.2500589 0.0 -1.257909],[-0.003522799 -0.00159767 -0.02346164]
[-3.785022 0.1000907 -24.84483],[0.9993975 -0.03434994 0.004249836 -0.002631588],[-0.2471873 0.0 -1.2612],[-0.003570629 -0.001670522 -0.02452413]
[-3.789907 0.1000907 -24.87012],[0.9993955 -0.03438476 0.00424114 -0.002887054],[-0.2442429 0.0 -1.264477],[-0.003597544 -0.001736677 -0.02548705]
[-3.794732 0.1000907 -24.89548],[0.9993936 -0.03441968 0.00423215 -0.003151047],[-0.2412227 0.0 -1.267743],[-0.003611406 -0.001795252 -0.02633815]
[-3.799494 0.1000907 -24.92089],[0.9993915 -0.03445451 0.004222905 -0.003422416],[-0.2381239 0.0 -1.270996],[-0.003605248 -0.001846095 -0.02707458]
[-3.804193 0.1000907 -24.94638],[0.9993894 -0.03448918 0.004213447 -0.003699935],[-0.2349443 0.0 -1.274237],[-0.003592986 -0.001888569 -0.02768853]
[-3.808827 0.1000907 -24.97193],[0.9993872 -0.03452357 0.004203821 -0.003982309],[-0.231682 0.0 -1.277466],[-0.003567741 -0.001922243 -0.02817324]
[-3.813394 0.1000907 -24.99754],[0.9993849 -0.03455764 0.00419407 -0.004268235],[-0.2283359 0.0 -1.280683],[-0.003537242 -0.001947041 -0.02852799]
[-3.817892 0.1000907 -25.02322],[0.9993825 -0.0345912 0.00418424 -0.00455637],[-0.2249053 0.0 -1.283888],[-0.003487003 -0.001962771 -0.02874885]
[-3.82232 0.1000907 -25.04896],[0.99938 -0.03462413 0.004174376 -0.00484539],[-0.22139 0.0 -1.287081],[-0.003425038 -0.001969449 -0.02883735]
[-3.826675 0.1000907 -25.07477],[0.9993775 -0.03465632 0.004164523 -0.00513398],[-0.2177903 0.0 -1.290262],[-0.003351023 -0.001967202 -0.0287948]
[-3.830958 0.1000907 -25.10064],[0.9993749 -0.03468773 0.004154726 -0.005420865],[-0.2141071 0.0 -1.29343],[-0.003272783 -0.001956171 -0.02862489]
[-3.835165 0.1000907 -25.12657],[0.9993723 -0.03471825 0.004145026 -0.005704787],[-0.2103416 0.0 -1.296585],[-0.003183038 -0.001936593 -0.02832959]
[-3.839294 0.1000907 -25.15256],[0.9993697 -0.03474786 0.004135465 -0.005984555],[-0.2064957 0.0 -1.299728],[-0.003089581 -0.001908807 -0.02791529]
[-3.843346 0.1000907 -25.17862],[0.999367 -0.03477645 0.004126082 -0.006259033],[-0.2025717 0.0 -1.302857],[-0.002985747 -0.001873274 -0.02738773]
[-3.847317 0.1000907 -25.20474],[0.9993644 -0.03480393 0.004116912 -0.006527179],[-0.1985722 0.0 -1.305972],[-0.002871578 -0.001830609 -0.02675591]
[-3.851207 0.1000907 -25.23092],[0.9993618 -0.03483026 0.00410799 -0.006788003],[-0.1945004 0.0 -1.309074],[-0.002754819 -0.001781133 -0.02602568]
[-3.855015 0.1000907 -25.25716],[0.9993592 -0.03485538 0.004099346 -0.007040608],[-0.1903595 0.0 -1.312162],[-0.002628565 -0.001725545 -0.02520569]
[-3.858738 0.1000907 -25.28347],[0.9993566 -0.03487932 0.004091007 -0.007284226],[-0.1861535 0.0 -1.315235],[-0.002507338 -0.001664554 -0.02430913]
[-3.862375 0.1000907 -25.30983],[0.9993542 -0.034902 0.004082998 -0.007518138],[-0.1818863 0.0 -1.318293],[-0.002377139 -0.001598691 -0.02334074]
[-3.865927 0.1000907 -25.33626],[0.9993517 -0.0349234 0.004075339 -0.007741762],[-0.1775622 0.0 -1.321335],[-0.002244992 -0.001528801 -0.02231443]
[-3.86939 0.1000907 -25.36275],[0.9993494 -0.0349436 0.004068047 -0.00795461],[-0.1731856 0.0 -1.324363],[-0.002118306 -0.001455404 -0.02123907]
[-3.872766 0.1000907 -25.3893],[0.9993471 -0.03496255 0.004061137 -0.008156293],[-0.1687611 0.0 -1.327373],[-0.001989835 -0.001379338 -0.02012514]
[-3.876052 0.1000907 -25.4159],[0.9993449 -0.03498026 0.004054617 -0.008346535],[-0.1642936 0.0 -1.330368],[-0.001859913 -0.001301364 -0.01898358]
[-3.879247 0.1000907 -25.44257],[0.9993429 -0.03499672 0.004048494 -0.008525172],[-0.1597877 0.0 -1.333345],[-0.001728969 -0.001222273 -0.01782557]
[-3.882352 0.1000907 -25.4693],[0.999341 -0.03501197 0.00404277 -0.008692116],[-0.1552483 0.0 -1.336306],[-0.001603285 -0.001142491 -0.01665889]
[-3.885366 0.1000907 -25.49608],[0.9993392 -0.03502608 0.004037445 -0.008847384],[-0.1506803 0.0 -1.339249],[-0.001483744 -0.001062694 -0.0154937]
[-3.888288 0.1000907 -25.52292],[0.9993374 -0.03503903 0.004032517 -0.008991083],[-0.1460883 0.0 -1.342174],[-0.001362375 -0.0009837046 -0.01433947]
[-3.891117 0.1000907 -25.54983],[0.9993358 -0.03505087 0.004027978 -0.009123405],[-0.1414772 0.0 -1.345081],[-0.001246602 -0.0009059648 -0.01320417]
[-3.893854 0.1000907 -25.57678],[0.9993343 -0.03506166 0.004023819 -0.009244622],[-0.1368514 0.0 -1.347969],[-0.001135795 -0.0008300418 -0.01209601]
[-3.896499 0.1000907 -25.6038],[0.999333 -0.0350715 0.004020029 -0.009355072],[-0.1322155 0.0 -1.350839],[-0.0010365 -0.0007562991 -0.0110217]
[-3.89905 0.1000907 -25.63087],[0.9993317 -0.03508038 0.004016595 -0.009455145],[-0.1275736 0.0 -1.35369],[-0.0009346078 -0.0006853188 -0.009986217]
[-3.901509 0.1000907 -25.658],[0.9993306 -0.03508839 0.004013502 -0.009545309],[-0.1229299 0.0 -1.356521],[-0.0008438292 -0.0006174142 -0.00899742]
[-3.903875 0.1000907 -25.68519],[0.9993296 -0.03509551 0.004010731 -0.009626067],[-0.1182883 0.0 -1.359333],[-0.0007499003 -0.0005531096 -0.008058762]
[-3.906148 0.1000907 -25.71243],[0.9993287 -0.03510183 0.004008264 -0.00969795],[-0.1136523 0.0 -1.362125],[-0.0006663426 -0.0004923496 -0.007173148]
[-3.908328 0.1000907 -25.73973],[0.9993278 -0.03510746 0.004006082 -0.009761536],[-0.1090255 0.0 -1.364898],[-0.0005924625 -0.0004354587 -0.006345081]
[-3.910417 0.1000907 -25.76709],[0.9993271 -0.03511241 0.004004165 -0.009817404],[-0.1044109 0.0 -1.367651],[-0.0005209912 -0.0003826028 -0.005575072]
[-3.912413 0.1000907 -25.79449],[0.9993265 -0.03511669 0.004002491 -0.009866156],[-0.09981154 0.0 -1.370383],[-0.0004510221 -0.000333924 -0.004864948]
[-3.914317 0.1000907 -25.82196],[0.999326 -0.03512038 0.004001041 -0.009908401],[-0.09522995 0.0 -1.373096],[-0.0003897044 -0.0002893754 -0.004215667]
[-3.916131 0.1000907 -25.84947],[0.9993255 -0.03512357 0.003999794 -0.00994474],[-0.09066857 0.0 -1.375788],[-0.000336214 -0.0002488836 -0.003626228]
[-3.917853 0.1000907 -25.87704],[0.9993251 -0.03512625 0.003998729 -0.009975772],[-0.08612954 0.0 -1.37846],[-0.0002824317 -0.000212627 -0.003096706]
[-3.919486 0.1000907 -25.90466],[0.9993247 -0.03512855 0.003997827 -0.01000206],[-0.08161474 0.0 -1.381112],[-0.0002426987 -0.000180068 -0.002623552]
[-3.921028 0.1000907 -25.93234],[0.9993244 -0.03513053 0.003997069 -0.01002416],[-0.07712582 0.0 -1.383743],[-0.0002087861 -0.0001512677 -0.002205405]
[-3.922482 0.1000907 -25.96007],[0.9993242 -0.03513217 0.003996437 -0.0100426],[-0.07266422 0.0 -1.386355],[-0.0001723551 -0.0001262024 -0.001839621]
[-3.923846 0.1000907 -25.98784],[0.999324 -0.03513344 0.003995913 -0.01005785],[-0.06823112 0.0 -1.388946],[-0.0001340425 -0.0001046183 -0.001522535]
[-3.925123 0.1000907 -26.01567],[0.9993238 -0.03513445 0.003995482 -0.0100704],[-0.06382756 0.0 -1.391517],[-0.0001067973 -8.607667E-05 -0.001252007]
[-3.926312 0.1000907 -26.04356],[0.9993237 -0.03513516 0.003995129 -0.01008064],[-0.05945434 0.0 -1.394067],[-7.58959E-05 -7.043942E-05 -0.001021472]
[-3.927414 0.1000907 -26.07149],[0.9993237 -0.0351356 0.003994842 -0.01008895],[-0.05511212 0.0 -1.396598],[-4.843756E-05 -5.74437E-05 -0.0008292284]
[-3.92843 0.1000907 -26.09947],[0.9993235 -0.0351358 0.003994608 -0.01009565],[-0.0508014 0.0 -1.399108],[-2.325617E-05 -4.67066E-05 -0.0006696491]
[-3.929361 0.1000907 -26.1275],[0.9993236 -0.03513586 0.00399442 -0.01010104],[-0.04652256 0.0 -1.401599],[-7.616758E-06 -3.771016E-05 -0.0005374396]
[-3.930206 0.1000907 -26.15558],[0.9993235 -0.0351357 0.003994267 -0.01010534],[-0.04227585 0.0 -1.404069],[1.357076E-05 -3.053465E-05 -0.0004295489]
[-3.930967 0.1000907 -26.18371],[0.9993234 -0.03513534 0.003994143 -0.01010877],[-0.03806144 0.0 -1.40652],[3.388781E-05 -2.477844E-05 -0.0003422186]
[-3.931645 0.1000907 -26.21189],[0.9993234 -0.0351348 0.003994042 -0.01011147],[-0.0338794 0.0 -1.408951],[5.341425E-05 -2.009899E-05 -0.0002701879]
[-3.93224 0.1000907 -26.24012],[0.9993235 -0.03513406 0.003993962 -0.01011356],[-0.02972977 0.0 -1.411362],[7.272285E-05 -1.612882E-05 -0.0002082302]
[-3.932752 0.1000907 -26.26839],[0.9993235 -0.03513314 0.003993899 -0.01011509],[-0.02561253 0.0 -1.413754],[9.175114E-05 -1.261352E-05 -0.0001529826]
[-3.933182 0.1000907 -26.29672],[0.9993235 -0.03513202 0.003993852 -0.01011611],[-0.02152762 0.0 -1.416126],[0.0001113186 -9.436722E-06 -0.0001024539]
[-3.933532 0.1000907 -26.32509],[0.9993236 -0.03513071 0.003993821 -0.01011661],[-0.017475 0.0 -1.418479],[0.0001314663 -6.181398E-06 -5.058514E-05]
[-3.933801 0.1000907 -26.3535],[0.9993237 -0.03512919 0.003993808 -0.01011657],[-0.0134546 0.0 -1.420813],[0.0001522397 -2.739452E-06 4.055195E-06]
[-3.93399 0.1000907 -26.38197],[0.9993238 -0.03512436 0.003993782 -0.01011594],[-0.009466371 0.0 -1.423127],[0.0004832958 -5.3216E-06 6.122477E-05]
[-3.934101 0.1000907 -26.41047],[0.9993243 -0.03511019 0.003993685 -0.01011468],[-0.005510288 0.0 -1.425421],[0.001417343 -1.977451E-05 0.0001210619]
[-3.934132 0.1000907 -26.43903],[0.9993255 -0.03507828 0.003993436 -0.01011272],[-0.00158632 0.0 -1.427691],[0.003194515 -5.079143E-05 0.0001850986]
[-3.934086 0.1000907 -26.46763],[0.9993275 -0.03501794 0.003992929 -0.01011],[0.00230555 0.0 -1.42993],[0.006037469 -0.0001029273 0.0002515747]
[-3.933963 0.1000907 -26.49627],[0.9993311 -0.03491691 0.003992046 -0.01010645],[0.006165334 0.0 -1.432128],[0.01010872 -0.0001794148 0.0003207032]
[-3.933763 0.1000907 -26.52495],[0.9993367 -0.03476146 0.003990652 -0.010102],[0.009993043 0.0 -1.43427],[0.0155548 -0.0002831391 0.0003929106]
[-3.933487 0.1000907 -26.55368],[0.9993445 -0.03453688 0.003988602 -0.01009657],[0.01378868 0.0 -1.436333],[0.0224697 -0.0004159487 0.0004680943]
[-3.933136 0.1000907 -26.58245],[0.9993553 -0.03422786 0.003985747 -0.01009009],[0.01755225 0.0 -1.438293],[0.03091861 -0.0005792342 0.000544828]
[-3.932711 0.1000907 -26.61125],[0.9993691 -0.03381902 0.003981934 -0.01008252],[0.02128374 0.0 -1.440117],[0.04090416 -0.0007731874 0.0006206261]
[-3.932211 0.1000907 -26.64009],[0.999387 -0.03329498 0.003977014 -0.0100738],[0.02498318 0.0 -1.441768],[0.05243064 -0.0009976804 0.0006980285]
[-3.931638 0.1000907 -26.66895],[0.9994087 -0.03264077 0.003970836 -0.01006388],[0.02865056 0.0 -1.443202],[0.06545051 -0.00125199 0.0007732928]
[-3.930993 0.1000907 -26.69784],[0.9994346 -0.03184232 0.003963264 -0.01005272],[0.03228593 0.0 -1.44437],[0.07987935 -0.001534238 0.0008487052]
[-3.930275 0.1000907 -26.72674],[0.9994646 -0.03088649 0.003954165 -0.01004031],[0.0358893 0.0 -1.445218],[0.0956201 -0.001842649 0.0009209382]
[-3.929486 0.1000907 -26.75565],[0.999499 -0.02976152 0.003943423 -0.01002663],[0.03946072 0.0 -1.445688],[0.1125377 -0.00217447 0.0009902493]
[-3.928626 0.1000907 -26.78457],[0.9995371 -0.02845719 0.003930934 -0.01001168],[0.04300023 0.0 -1.445717],[0.1304744 -0.002526561 0.001055552]
[-3.927696 0.1000907 -26.81347],[0.9995788 -0.026965 0.003916614 -0.009995462],[0.0465079 0.0 -1.445239],[0.1492603 -0.002895519 0.001116761]
[-3.926696 0.1000907 -26.84235],[0.9996231 -0.02527831 0.003900392 -0.009978012],[0.0499838 0.0 -1.444184],[0.168708 -0.003277691 0.001171726]
[-3.925627 0.1000907 -26.8712],[0.9996692 -0.02339244 0.00388222 -0.00995935],[0.053428 0.0 -1.442482],[0.1886227 -0.003669071 0.00122191]
[-3.92449 0.1000907 -26.90001],[0.9997162 -0.02130469 0.003862068 -0.009939518],[0.05684059 0.0 -1.44006],[0.2088032 -0.004065691 0.001265994]
[-3.923286 0.1000907 -26.92874],[0.9997627 -0.01901465 0.003839926 -0.009918558],[0.06022168 0.0 -1.436845],[0.2290247 -0.004463043 0.001304258]
[-3.922014 0.1000907 -26.9574],[0.9998072 -0.01652392 0.003815806 -0.009896527],[0.06357134 0.0 -1.432765],[0.2490826 -0.004857052 0.001336158]
[-3.920677 0.1000907 -26.98595],[0.9998484 -0.01383633 0.003789742 -0.009873479],[0.06688968 0.0 -1.427748],[0.2687593 -0.005243358 0.001362718]
[-3.919273 0.1000907 -27.01439],[0.9998844 -0.01095767 0.003761784 -0.009849491],[0.0701768 0.0 -1.421726],[0.2878535 -0.005618047 0.001381754]
[-3.917804 0.1000907 -27.04268],[0.9999136 -0.007895756 0.003732005 -0.009824618],[0.07343278 0.0 -1.414631],[0.3061687 -0.005977114 0.001396543]
[-3.916271 0.1000907 -27.07081],[0.9999343 -0.00466029 0.003700496 -0.009798924],[0.07665773 0.0 -1.406402],[0.3235142 -0.006316836 0.001406855]
[-3.914674 0.1000907 -27.09875],[0.9999447 -0.001262753 0.003667364 -0.009772496],[0.07985171 0.0 -1.396978],[0.3397141 -0.006633775 0.001410998]
[-3.913014 0.1000907 -27.12647],[0.9999433 0.00228382 0.003632732 -0.009745403],[0.08301481 0.0 -1.386308],[0.3546143 -0.0069249 0.001411462]
[-3.911291 0.1000907 -27.15396],[0.9999285 0.005964793 0.003596741 -0.0097177],[0.08614708 0.0 -1.374342],[0.3680557 -0.007187141 0.001410288]
[-3.909506 0.1000907 -27.18118],[0.9998991 0.009764459 0.00355954 -0.009689465],[0.08924857 0.0 -1.361039],[0.3799318 -0.007418463 0.001405835]
[-3.90766 0.1000907 -27.20811],[0.9998538 0.01366605 0.003521291 -0.009660766],[0.09231932 0.0 -1.346364],[0.3901385 -0.007616899 0.001399539]
[-3.905752 0.1000907 -27.23471],[0.9997918 0.01765187 0.003482163 -0.009631651],[0.09535936 0.0 -1.330287],[0.398582 -0.007780773 0.001394263]
[-3.903785 0.1000907 -27.26097],[0.9997125 0.02170366 0.003442333 -0.00960217],[0.09836871 0.0 -1.312788],[0.4052075 -0.007909144 0.001389902]
[-3.901758 0.1000907 -27.28685],[0.9996155 0.02580271 0.003401982 -0.009572388],[0.1013474 0.0 -1.293853],[0.40997 -0.008001215 0.001385685]
[-3.899672 0.1000907 -27.31231],[0.9995009 0.02993017 0.003361292 -0.009542353],[0.1042953 0.0 -1.273475],[0.4128557 -0.008056918 0.00138338]
[-3.897528 0.1000907 -27.33735],[0.9993687 0.03406709 0.003320447 -0.009512118],[0.1072126 0.0 -1.251655],[0.413853 -0.00807617 0.001383142]
[-3.895326 0.1000907 -27.36192],[0.99922 0.03819472 0.003279629 -0.009481718],[0.1100991 0.0 -1.228401],[0.4129811 -0.008059612 0.001387042]
[-3.893067 0.1000907 -27.38599],[0.9990553 0.04229484 0.003239015 -0.009451175],[0.1129549 0.0 -1.20373],[0.4102948 -0.008008573 0.001395902]
[-3.890751 0.1000907 -27.40955],[0.9988758 0.04634984 0.003198776 -0.009420545],[0.1157799 0.0 -1.177664],[0.4058484 -0.007924002 0.001406972]
[-3.88838 0.1000907 -27.43255],[0.9986829 0.05034276 0.003159076 -0.009389858],[0.1185742 0.0 -1.150233],[0.3997102 -0.007807577 0.00142232]
[-3.885953 0.1000907 -27.45498],[0.9984783 0.05425762 0.003120071 -0.009359128],[0.1213376 0.0 -1.121472],[0.3919751 -0.007661439 0.001443647]
[-3.883471 0.1000907 -27.47681],[0.9982637 0.05807953 0.003081907 -0.009328404],[0.1240703 0.0 -1.091424],[0.3827492 -0.007487389 0.00146736]
[-3.880936 0.1000907 -27.49801],[0.998041 0.06179478 0.003044716 -0.009297709],[0.1267721 0.0 -1.060135],[0.3721483 -0.007288037 0.001495374]
[-3.878347 0.1000907 -27.51856],[0.9978122 0.06539089 0.003008621 -0.009267088],[0.1294431 0.0 -1.027659],[0.3602977 -0.007065599 0.001525405]
[-3.875705 0.1000907 -27.53844],[0.9975794 0.06885685 0.002973729 -0.00923657],[0.1320834 0.0 -0.9940502],[0.3473371 -0.006823002 0.001558416]
[-3.873012 0.1000907 -27.55763],[0.9973446 0.07218295 0.002940135 -0.009206187],[0.134693 0.0 -0.9593706],[0.3333999 -0.006562797 0.001593719]
[-3.870266 0.1000907 -27.57611],[0.9971099 0.07536104 0.002907921 -0.009175982],[0.137272 0.0 -0.9236832],[0.3186386 -0.006287702 0.001629463]
