position,rotation,velocity,angular_velocity
[8.491944 0.1000907 -22.75291],[0.99957 0.02336159 0.005438864 0.01686769],[-0.3906775 0.0 -0.8538435],[-0.04996651 -0.0018945 0.004673673]
[8.484063 0.1000907 -22.76967],[0.9995808 0.02286657 0.005429548 0.01691139],[-0.3940657 0.0 -0.8378872],[-0.04946686 -0.001874138 0.004596805]
[8.476114 0.1000907 -22.78611],[0.9995912 0.02237844 0.005420367 0.01695421],[-0.3974451 0.0 -0.8222511],[-0.04877697 -0.00184683 0.004507306]
[8.468098 0.1000907 -22.80225],[0.9996011 0.021899 0.005411353 0.01699602],[-0.4008153 0.0 -0.8069298],[-0.04790912 -0.001812837 0.00440191]
[8.460014 0.1000907 -22.81809],[0.9996105 0.02143002 0.005402538 0.01703673],[-0.404176 0.0 -0.7919176],[-0.04686262 -0.001772463 0.00428808]
[8.451864 0.1000907 -22.83363],[0.9996197 0.02097303 0.005393952 0.01707628],[-0.4075267 0.0 -0.7772077],[-0.04566499 -0.001726622 0.004166023]
[8.443646 0.1000907 -22.84889],[0.9996283 0.0205294 0.005385617 0.01711455],[-0.4108671 0.0 -0.7627934],[-0.04432939 -0.00167563 0.004032619]
[8.435363 0.1000907 -22.86386],[0.9996364 0.02010045 0.005377558 0.01715147],[-0.4141967 0.0 -0.7486668],[-0.04286249 -0.001619875 0.003891567]
[8.427012 0.1000907 -22.87856],[0.9996441 0.01968735 0.005369796 0.01718702],[-0.4175151 0.0 -0.7348201],[-0.04127773 -0.001559954 0.003747029]
[8.418596 0.1000907 -22.89298],[0.9996512 0.01929101 0.005362348 0.01722116],[-0.4208217 0.0 -0.7212448],[-0.03960279 -0.001496781 0.003598386]
[8.410114 0.1000907 -22.90714],[0.9996579 0.01891227 0.005355229 0.01725385],[-0.4241161 0.0 -0.7079323],[-0.03784336 -0.001430578 0.003446217]
[8.401567 0.1000907 -22.92104],[0.9996642 0.01855179 0.005348451 0.01728504],[-0.4273978 0.0 -0.6948736],[-0.0360195 -0.001361884 0.003286804]
[8.392953 0.1000907 -22.93468],[0.99967 0.01821008 0.005342022 0.01731471],[-0.4306661 0.0 -0.6820595],[-0.03414322 -0.001291401 0.003127688]
[8.384274 0.1000907 -22.94807],[0.9996753 0.01788748 0.00533595 0.01734289],[-0.4339207 0.0 -0.6694809],[-0.03223357 -0.001219755 0.002968787]
[8.375531 0.1000907 -22.96121],[0.9996803 0.01758414 0.005330237 0.01736953],[-0.437161 0.0 -0.6571284],[-0.03030859 -0.00114745 0.002806333]
[8.366723 0.1000907 -22.97411],[0.9996849 0.01730018 0.005324886 0.01739464],[-0.4403864 0.0 -0.6449927],[-0.02837216 -0.001074743 0.002644057]
[8.357851 0.1000907 -22.98677],[0.999689 0.01703534 0.005319891 0.01741825],[-0.4435964 0.0 -0.6330646],[-0.02646158 -0.001003041 0.00248542]
[8.348915 0.1000907 -22.9992],[0.9996928 0.01678948 0.00531525 0.01744039],[-0.4467905 0.0 -0.6213349],[-0.02456458 -0.000931907 0.002329858]
[8.339915 0.1000907 -23.01139],[0.9996963 0.01656226 0.005310957 0.01746109],[-0.4499683 0.0 -0.6097946],[-0.02270322 -0.0008621027 0.00217727]
[8.330853 0.1000907 -23.02336],[0.9996994 0.01635315 0.005307002 0.01748038],[-0.4531292 0.0 -0.598435],[-0.02089204 -0.000794118 0.002027482]
[8.321727 0.1000907 -23.03511],[0.9997023 0.01616147 0.005303373 0.01749828],[-0.4562728 0.0 -0.5872477],[-0.01915111 -0.0007286621 0.001880399]
[8.312539 0.1000907 -23.04663],[0.9997048 0.01598667 0.005300059 0.01751483],[-0.4593987 0.0 -0.5762245],[-0.01746454 -0.0006652174 0.001737407]
[8.303289 0.1000907 -23.05794],[0.9997071 0.01582794 0.005297046 0.01753013],[-0.4625064 0.0 -0.5653574],[-0.0158581 -0.0006048946 0.001604638]
[8.293978 0.1000907 -23.06903],[0.9997091 0.01568453 0.00529432 0.0175442],[-0.4655955 0.0 -0.554639],[-0.01432835 -0.0005473383 0.001474821]
[8.284604 0.1000907 -23.07991],[0.9997109 0.01555556 0.005291864 0.01755709],[-0.4686658 0.0 -0.5440621],[-0.01288512 -0.0004929382 0.001349256]
[8.275169 0.1000907 -23.09058],[0.9997125 0.01544021 0.005289664 0.01756883],[-0.4717168 0.0 -0.5336201],[-0.01152393 -0.000441559 0.001228909]
[8.265675 0.1000907 -23.10105],[0.9997138 0.01533758 0.005287703 0.0175795],[-0.4747482 0.0 -0.5233064],[-0.0102527 -0.0003935333 0.001115303]
[8.25612 0.1000907 -23.11131],[0.9997151 0.01524669 0.005285963 0.01758916],[-0.4777598 0.0 -0.5131151],[-0.009079997 -0.0003491918 0.001009612]
[8.246505 0.1000907 -23.12137],[0.9997162 0.01516663 0.005284427 0.01759791],[-0.4807512 0.0 -0.5030407],[-0.007998235 -0.0003083081 0.0009126813]
[8.236831 0.1000907 -23.13123],[0.9997171 0.01509642 0.005283077 0.01760577],[-0.4837223 0.0 -0.4930781],[-0.007014313 -0.0002709373 0.0008186862]
[8.227098 0.1000907 -23.1409],[0.999718 0.01503522 0.005281897 0.0176128],[-0.4866728 0.0 -0.4832225],[-0.006113053 -0.0002366837 0.0007320282]
[8.217305 0.1000907 -23.15037],[0.9997187 0.01498216 0.005280872 0.01761904],[-0.4896026 0.0 -0.4734696],[-0.005300589 -0.0002056483 0.0006486271]
[8.207455 0.1000907 -23.15964],[0.9997191 0.01493636 0.005279985 0.01762455],[-0.4925115 0.0 -0.4638152],[-0.00457507 -0.0001778922 0.0005730951]
[8.197547 0.1000907 -23.16873],[0.9997197 0.01489704 0.005279223 0.01762943],[-0.4953994 0.0 -0.454256],[-0.003927475 -0.0001531332 0.000506128]
[8.187582 0.1000907 -23.17762],[0.9997202 0.01486352 0.005278571 0.01763363],[-0.4982662 0.0 -0.4447885],[-0.003348703 -0.0001307159 0.0004365993]
[8.17756 0.1000907 -23.18633],[0.9997205 0.01483505 0.005278017 0.01763724],[-0.5011117 0.0 -0.4354098],[-0.002843932 -0.0001111201 0.0003744765]
[8.167481 0.1000907 -23.19485],[0.9997208 0.01481098 0.005277548 0.01764035],[-0.5039359 0.0 -0.4261172],[-0.002404133 -9.410656E-05 0.0003223904]
[8.157347 0.1000907 -23.20319],[0.9997211 0.0147909 0.005277157 0.01764297],[-0.5067388 0.0 -0.4169083],[-0.002006181 -7.858199E-05 0.0002707131]
[8.147157 0.1000907 -23.21135],[0.9997213 0.01477419 0.005276832 0.01764509],[-0.5095204 0.0 -0.4077808],[-0.001669041 -6.524117E-05 0.0002206107]
[8.136911 0.1000907 -23.21932],[0.9997215 0.01476047 0.005276566 0.01764678],[-0.5122806 0.0 -0.3987329],[-0.00137016 -5.337982E-05 0.0001749801]
[8.126611 0.1000907 -23.22712],[0.9997216 0.01474938 0.005276353 0.01764802],[-0.5150194 0.0 -0.3897628],[-0.001108036 -4.281498E-05 0.0001296173]
[8.116256 0.1000907 -23.23474],[0.9997217 0.01474063 0.005276186 0.01764886],[-0.5177367 0.0 -0.3808687],[-0.0008746076 -3.336051E-05 8.760972E-05]
[8.105847 0.1000907 -23.24218],[0.9997218 0.01473393 0.005276062 0.01764931],[-0.5204327 0.0 -0.3720491],[-0.0006691151 -2.496101E-05 4.833014E-05]
