position,rotation,velocity,angular_velocity
[-0.0004490059 0.1000426 0.0002032246],[0.9999935 -0.003610515 3.963556E-05 4.24971E-07],[-4.595128E-10 -1.190449E-07 -5.797358E-06],[0.0002133771 3.214387E-10 -1.691057E-08]
[-0.0004490059 0.1000426 0.0002031202],[0.9999935 -0.003608595 3.963556E-05 4.248949E-07],[-4.135088E-10 -1.043581E-07 -5.216931E-06],[0.0001920078 -4.809761E-11 -1.522E-08]
[-0.0004490059 0.1000426 0.0002030291],[0.9999935 -0.003606917 3.963555E-05 4.248291E-07],[-3.61271E-10 -8.94451E-08 -4.557892E-06],[0.0001677591 6.832275E-10 -1.329087E-08]
[-0.0004490059 0.1000426 0.0002029523],[0.9999935 -0.003605503 3.963555E-05 4.247728E-07],[-3.045883E-10 -7.45367E-08 -3.842765E-06],[0.0001414263 6.799096E-10 -1.12374E-08]
[-0.0004490059 0.1000426 0.0002028908],[0.9999935 -0.003604372 3.963556E-05 4.247282E-07],[-2.435625E-10 -5.964277E-08 -3.072898E-06],[0.0001131063 3.172601E-10 -8.946858E-09]
[-0.0004490059 0.1000426 0.0002028452],[0.9999935 -0.003603532 3.963556E-05 4.24691E-07],[-1.808562E-10 -4.462724E-08 -2.281742E-06],[8.398589E-05 3.207295E-10 -6.632328E-09]
[-0.000449006 0.1000426 0.0002028155],[0.9999935 -0.003602986 3.963555E-05 4.246736E-07],[-1.17741E-10 -2.921195E-08 -1.485373E-06],[5.466178E-05 6.745057E-10 -4.31849E-09]
[-0.000449006 0.1000426 0.0002028014],[0.9999935 -0.003602727 3.963555E-05 4.246618E-07],[-5.56683E-11 -1.489393E-08 -7.023457E-07],[2.586041E-05 -4.861826E-11 -2.063559E-09]
[-0.000449006 0.1000426 0.0002028026],[0.9999935 -0.003602749 3.963555E-05 4.246628E-07],[4.726079E-12 1.143625E-10 5.96023E-08],[-2.184187E-06 6.833688E-10 1.825746E-10]
[-0.000449006 0.1000426 0.0002028182],[0.9999935 -0.003603037 3.963556E-05 4.246701E-07],[6.185948E-11 1.499646E-08 7.804463E-07],[-2.872319E-05 3.225443E-10 2.291727E-09]
[-0.000449006 0.1000426 0.0002028471],[0.9999935 -0.003603568 3.963556E-05 4.246966E-07],[1.144445E-10 2.973331E-08 1.443889E-06],[-5.314663E-05 -6.720725E-11 4.192282E-09]
[-0.000449006 0.1000426 0.0002028879],[0.9999935 -0.003604319 3.963556E-05 4.247225E-07],[1.618346E-10 4.469166E-08 2.041797E-06],[-7.516066E-05 3.227837E-10 5.924595E-09]
[-0.0004490059 0.1000426 0.0002029392],[0.9999935 -0.003605263 3.963556E-05 4.247635E-07],[2.031864E-10 5.969995E-08 2.563464E-06],[-9.435675E-05 -6.281419E-11 7.483894E-09]
[-0.0004490059 0.1000426 0.0002029992],[0.9999935 -0.003606366 3.963556E-05 4.248072E-07],[2.375152E-10 5.943308E-08 2.996534E-06],[-0.0001102959 3.154458E-10 8.741149E-09]
[-0.0004490059 0.1000426 0.000203066],[0.9999935 -0.003607597 3.963555E-05 4.248547E-07],[2.650676E-10 7.457023E-08 3.34425E-06],[-0.0001230989 3.146053E-10 9.778228E-09]
[-0.0004490059 0.1000426 0.0002031382],[0.9999935 -0.003608926 3.963555E-05 4.249073E-07],[2.862095E-10 7.396079E-08 3.610993E-06],[-0.0001329087 3.150626E-10 1.052713E-08]
[-0.0004490059 0.1000426 0.0002032139],[0.9999935 -0.003610319 3.963555E-05 4.249609E-07],[2.999658E-10 7.444861E-08 3.78443E-06],[-0.0001392929 -4.791743E-11 1.10253E-08]
[-0.0004490059 0.1000426 0.0002032911],[0.9999935 -0.003611739 3.963555E-05 4.250172E-07],[3.060192E-10 7.454394E-08 3.860797E-06],[-0.0001421002 3.16054E-10 1.125641E-08]
[-0.0004490059 0.1000426 0.0002033682],[0.9999935 -0.003613158 3.963556E-05 4.250751E-07],[3.054654E-10 7.44486E-08 3.853814E-06],[-0.0001418433 3.126597E-10 1.120235E-08]
[-0.0004490059 0.1000426 0.0002034436],[0.9999935 -0.003614546 3.963556E-05 4.251319E-07],[2.988298E-10 7.459393E-08 3.770121E-06],[-0.0001387617 3.158505E-10 1.097229E-08]
[-0.0004490059 0.1000426 0.0002035159],[0.9999935 -0.003615875 3.963554E-05 4.251851E-07],[2.864016E-10 7.441768E-08 3.613405E-06],[-0.0001330039 -4.702269E-11 1.053213E-08]
