position,rotation,velocity,angular_velocity
[-0.0004490059 0.1000426 0.0002035836],[0.9999935 -0.003617121 3.963555E-05 4.252342E-07],[2.682921E-10 7.45821E-08 3.38489E-06],[-0.000124594 6.803762E-10 9.845937E-09]
[-0.0004490059 0.1000426 0.0002036455],[0.9999935 -0.00361826 3.963555E-05 4.252774E-07],[2.451958E-10 5.955927E-08 3.093518E-06],[-0.0001138574 6.887793E-10 8.972175E-09]
[-0.0004490059 0.1000426 0.0002037005],[0.9999935 -0.003619273 3.963556E-05 4.253156E-07],[2.181988E-10 5.968095E-08 2.752988E-06],[-0.0001013333 6.892349E-10 8.034503E-09]
[-0.0004490059 0.1000426 0.000203748],[0.9999935 -0.003620147 3.963555E-05 4.253521E-07],[1.881335E-10 4.467718E-08 2.373605E-06],[-8.735009E-05 1.055702E-09 6.907062E-09]
[-0.0004490059 0.1000426 0.0002037873],[0.9999935 -0.003620869 3.963555E-05 4.253807E-07],[1.55548E-10 4.467718E-08 1.962426E-06],[-7.223938E-05 3.15979E-10 5.724822E-09]
[-0.0004490059 0.1000426 0.0002038179],[0.9999935 -0.003621433 3.963556E-05 4.25403E-07],[1.21358E-10 2.976417E-08 1.531095E-06],[-5.635767E-05 3.163162E-10 4.460017E-09]
[-0.0004490059 0.1000426 0.0002038397],[0.9999935 -0.003621834 3.963556E-05 4.254187E-07],[8.634382E-11 2.981417E-08 1.08931E-06],[-4.00989E-05 -4.949163E-11 3.167139E-09]
[-0.0004490059 0.1000426 0.000203479],[0.9999935 -0.003615196 3.963556E-05 4.251537E-07],[-1.429401E-09 -3.724836E-07 -1.80338E-05],[0.0006637666 2.987659E-10 -5.26084E-08]
[-0.000449006 0.1000426 0.0002020694],[0.9999936 -0.003589254 3.963558E-05 4.241272E-07],[-5.586466E-09 -1.460238E-06 -7.04811E-05],[0.00259422 1.748983E-09 -2.056906E-07]
[-0.0004490063 0.1000425 0.0001987282],[0.9999939 -0.003527764 3.963558E-05 4.216886E-07],[-1.32417E-08 -3.457172E-06 -0.0001670624],[0.006149092 3.918848E-09 -4.87449E-07]
[-0.0004490068 0.1000424 0.0001924288],[0.9999942 -0.003411832 3.963564E-05 4.170966E-07],[-2.496521E-08 -6.482074E-06 -0.0003149706],[0.01159316 5.680426E-09 -9.190075E-07]
[-0.0004490076 0.1000422 0.0001820684],[0.9999948 -0.00322117 3.96357E-05 4.095402E-07],[-4.105859E-08 -1.053534E-05 -0.0005180098],[0.01906635 1.116368E-08 -1.511453E-06]
[-0.0004490088 0.1000419 0.0001665294],[0.9999958 -0.002935201 3.963583E-05 3.982038E-07],[-6.158312E-08 -1.549719E-05 -0.0007769526],[0.02859703 1.510042E-08 -2.266973E-06]
[-0.0004490105 0.1000415 0.0001447325],[0.9999968 -0.002534072 3.963598E-05 3.823045E-07],[-8.6384E-08 -2.111506E-05 -0.001089844],[0.04011305 2.161959E-08 -3.179911E-06]
[-0.0004490128 0.100041 0.0001156858],[0.999998 -0.001999538 3.963619E-05 3.611172E-07],[-1.151153E-07 -2.697093E-05 -0.001452318],[0.05345353 2.919074E-08 -4.23743E-06]
[-0.0004490158 0.1000403 7.85248E-05],[0.9999992 -0.001315688 3.963642E-05 3.340121E-07],[-1.472753E-07 -3.251395E-05 -0.00185804],[0.06838509 3.784028E-08 -5.421118E-06]
[-0.0004490194 0.1000396 3.254357E-05],[0.9999999 -0.0004695482 3.963668E-05 3.004741E-07],[-1.822324E-07 -3.708918E-05 -0.00229904],[0.08461402 4.752881E-08 -6.707652E-06]
[-0.0004490238 0.1000388 -2.277894E-05],[0.9999999 0.0005484626 3.963698E-05 2.601213E-07],[-2.192563E-07 -3.993562E-05 -0.0027661],[0.1018011 5.82864E-08 -8.070144E-06]
[-0.000449029 0.1000381 -8.776222E-05],[0.9999985 0.001744209 3.963726E-05 2.127271E-07],[-2.575475E-07 -4.02931E-05 -0.003249128],[0.1195747 6.710584E-08 -9.479147E-06]
[-0.0004490349 0.1000374 -0.0001625135],[0.9999952 0.003119654 3.963751E-05 1.58206E-07],[-2.962661E-07 -3.741739E-05 -0.003737524],[0.1375449 7.735923E-08 -1.090367E-05]
[-0.0004490416 0.1000369 -0.0002469246],[0.9999892 0.004672801 3.963772E-05 9.664255E-08],[-3.345588E-07 -3.063749E-05 -0.004220521],[0.1553159 8.827651E-08 -1.231245E-05]
[-0.000449049 0.1000367 -0.0003406751],[0.9999796 0.00639775 3.963782E-05 2.827185E-08],[-3.715846E-07 -1.94772E-05 -0.004687503],[0.1724976 9.652283E-08 -1.367452E-05]
[-0.0004490571 0.1000367 -0.0004432412],[0.9999657 0.008284869 3.96378E-05 -4.653322E-08],[-4.065369E-07 -3.607709E-06 -0.005128299],[0.1887169 1.054467E-07 -1.496026E-05]
[-0.0004490659 0.1000373 -0.0005539095],[0.9999468 0.01032105 3.963763E-05 -1.272485E-07],[-4.38666E-07 1.698525E-05 -0.005533446],[0.2036265 1.157973E-07 -1.614224E-05]
[-0.0004490753 0.1000383 -0.0006717956],[0.999922 0.01249004 3.963726E-05 -2.132259E-07],[-4.672942E-07 4.210853E-05 -0.005894398],[0.2169137 1.219971E-07 -1.719552E-05]
[-0.0004490851 0.10004 -0.0007958675],[0.9998909 0.0147729 3.963666E-05 -3.037158E-07],[-4.918346E-07 7.122569E-05 -0.006203756],[0.228307 1.281454E-07 -1.809875E-05]
[-0.0004490954 0.1000424 -0.0009249703],[0.999853 0.01714841 3.963584E-05 -3.97888E-07],[-5.117994E-07 0.0001036067 -0.006455375],[0.2375816 1.331183E-07 -1.883394E-05]
[-0.0004491059 0.1000455 -0.001057853],[0.9998081 0.01959363 3.963475E-05 -4.948243E-07],[-5.268109E-07 0.0001382234 -0.00664449],[0.2445629 1.3732E-07 -1.938743E-05]
[-0.0004491166 0.1000492 -0.0011932],[0.9997562 0.02208438 3.96334E-05 -5.935621E-07],[-5.366053E-07 0.0001738987 -0.006767788],[0.2491293 1.407507E-07 -1.974943E-05]
[-0.0004491274 0.1000538 -0.001329659],[0.9996975 0.02459583 3.963177E-05 -6.931237E-07],[-5.410378E-07 0.0002093661 -0.006823449],[0.2512133 1.408103E-07 -1.991454E-05]
[-0.0004491382 0.100059 -0.001465868],[0.9996327 0.027103 3.96299E-05 -7.925184E-07],[-5.400787E-07 0.0002432395 -0.006811109],[0.2508008 1.423427E-07 -1.988196E-05]
[-0.0004491489 0.1000648 -0.00160049],[0.9995624 0.0295813 3.962783E-05 -8.907713E-07],[-5.338127E-07 0.0002742225 -0.006731848],[0.2479298 1.39042E-07 -1.965437E-05]
[-0.0004491594 0.1000712 -0.001732236],[0.9994877 0.03200702 3.962554E-05 -9.869385E-07],[-5.224318E-07 0.0003010925 -0.00658809],[0.2426874 1.35769E-07 -1.923871E-05]
[-0.0004491695 0.1000779 -0.00185989],[0.9994097 0.03435779 3.962311E-05 -1.080136E-06],[-5.062262E-07 0.000322807 -0.006383512],[0.2352064 1.325056E-07 -1.864563E-05]
[-0.0004491792 0.100085 -0.001982331],[0.9993296 0.03661298 3.962056E-05 -1.169549E-06],[-4.85576E-07 0.0003385155 -0.006122907],[0.2256605 1.266309E-07 -1.788899E-05]
[-0.0004491884 0.1000922 -0.002098555],[0.9992488 0.03875404 3.961798E-05 -1.254441E-06],[-4.609361E-07 0.000347637 -0.005812022],[0.2142586 1.200574E-07 -1.698505E-05]
[-0.000449197 0.1000995 -0.002207686],[0.9991688 0.04076484 3.961537E-05 -1.334165E-06],[-4.328262E-07 0.0003499039 -0.005457412],[0.2012396 1.135635E-07 -1.595296E-05]
[-0.0004492051 0.1001066 -0.002308995],[0.9990909 0.04263187 3.961281E-05 -1.408188E-06],[-4.018142E-07 0.0003452992 -0.005066241],[0.1868653 1.052414E-07 -1.481343E-05]
[-0.0004492125 0.1001135 -0.002401904],[0.9990163 0.0443444 3.961034E-05 -1.476088E-06],[-3.685042E-07 0.000334122 -0.004646133],[0.1714149 9.734967E-08 -1.358861E-05]
[-0.0004492191 0.10012 -0.002485991],[0.9989462 0.04589459 3.960799E-05 -1.537552E-06],[-3.335214E-07 0.0003168952 -0.004204962],[0.1551776 8.653041E-08 -1.230153E-05]
[-0.0004492251 0.100126 -0.002560994],[0.9988819 0.04727756 3.960584E-05 -1.592386E-06],[-2.974961E-07 0.000294363 -0.003750681],[0.1384463 7.913103E-08 -1.097507E-05]
[-0.0004492303 0.1001314 -0.002626809],[0.9988236 0.04849127 3.960387E-05 -1.640511E-06],[-2.610536E-07 0.0002674765 -0.003291165],[0.1215115 6.84737E-08 -9.63269E-06]
[-0.0004492348 0.1001363 -0.002683483],[0.9987723 0.04953657 3.960214E-05 -1.681956E-06],[-2.247988E-07 0.000237254 -0.002834045],[0.1046554 5.899073E-08 -8.296414E-06]
[-0.0004492386 0.1001404 -0.002731209],[0.9987283 0.05041693 3.960063E-05 -1.716864E-06],[-1.893061E-07 0.0002048287 -0.002386551],[0.08814619 4.924507E-08 -6.987714E-06]
[-0.0004492417 0.1001439 -0.002770314],[0.9986916 0.05113833 3.959938E-05 -1.745463E-06],[-1.551096E-07 0.0001712969 -0.001955417],[0.07223348 4.138004E-08 -5.726217E-06]
[-0.0004492441 0.1001467 -0.002801245],[0.9986623 0.05170902 3.959837E-05 -1.768098E-06],[-1.226926E-07 0.0001377514 -0.00154673],[0.05714382 3.124594E-08 -4.530031E-06]
[-0.000449246 0.1001488 -0.002824561],[0.9986399 0.05213921 3.959762E-05 -1.785154E-06],[-9.248144E-08 0.0001051752 -0.001165862],[0.04307716 2.35327E-08 -3.414846E-06]
[-0.0004492473 0.1001503 -0.002840908],[0.9986241 0.05244083 3.959707E-05 -1.797115E-06],[-6.483994E-08 7.444844E-05 -0.000817396],[0.03020409 1.808825E-08 -2.394352E-06]
[-0.0004492481 0.1001512 -0.002851009],[0.9986143 0.05262721 3.959674E-05 -1.804505E-06],[-4.006359E-08 4.631333E-05 -0.0005050541],[0.0186636 1.087103E-08 -1.479485E-06]
[-0.0004492485 0.1001517 -0.002855642],[0.9986098 0.05271272 3.959658E-05 -1.807893E-06],[-1.837884E-08 2.132363E-05 -0.0002316888],[0.008562036 4.41638E-09 -6.786861E-07]
[-0.0004492484 0.1001517 -0.002855628],[0.9986098 0.05271244 3.959658E-05 -1.807884E-06],[5.94014E-11 -7.450581E-08 7.487835E-07],[-2.766959E-05 1.502089E-10 2.162681E-09]
[-0.0004492482 0.1001513 -0.002851804],[0.9986135 0.05264188 3.95967E-05 -1.805086E-06],[1.516697E-08 -1.762811E-05 0.0001911988],[-0.007065821 -4.700017E-09 5.601083E-07]
[-0.0004492476 0.1001507 -0.002845014],[0.9986201 0.0525166 3.959694E-05 -1.800119E-06],[2.692865E-08 -3.126197E-05 0.0003394699],[-0.01254511 -6.578512E-09 9.944612E-07]
[-0.0004492469 0.1001499 -0.00283609],[0.9986287 0.05235194 3.959722E-05 -1.793588E-06],[3.539502E-08 -4.097802E-05 0.0004462002],[-0.01648895 -1.028525E-08 1.307133E-06]
[-0.0004492461 0.1001489 -0.002825834],[0.9986386 0.0521627 3.959758E-05 -1.786085E-06],[4.067806E-08 -4.692319E-05 0.000512801],[-0.01894957 -1.17991E-08 1.50218E-06]
[-0.0004492452 0.1001479 -0.002815006],[0.9986491 0.05196292 3.959793E-05 -1.778165E-06],[4.294637E-08 -4.933709E-05 0.0005413974],[-0.02000561 -1.213988E-08 1.585929E-06]
[-0.0004492444 0.100147 -0.002804311],[0.9986593 0.0517656 3.959828E-05 -1.770341E-06],[4.241801E-08 -4.851762E-05 0.0005347383],[-0.01975881 -1.057477E-08 1.566411E-06]
[-0.0004492436 0.1001461 -0.002794389],[0.9986688 0.05158254 3.959859E-05 -1.763082E-06],[3.935341E-08 -4.480704E-05 0.0004961061],[-0.01833068 -9.72063E-09 1.453113E-06]
[-0.0004492429 0.1001453 -0.002785804],[0.998677 0.05142415 3.959888E-05 -1.756803E-06],[3.40489E-08 -3.860884E-05 0.0004292363],[-0.01585938 -8.173432E-09 1.257209E-06]
[-0.0004492424 0.1001447 -0.002779039],[0.9986834 0.05129936 3.95991E-05 -1.751853E-06],[2.682806E-08 -3.030755E-05 0.000338208],[-0.01249569 -6.276361E-09 9.906347E-07]
[-0.000449242 0.1001443 -0.002774493],[0.9986877 0.05121548 3.959925E-05 -1.748528E-06],[1.803313E-08 -2.032618E-05 0.000227335],[-0.008399151 -4.790673E-09 6.658219E-07]
[-0.0004492418 0.1001441 -0.002772471],[0.9986896 0.05117819 3.959931E-05 -1.747046E-06],[8.017787E-09 -9.015047E-06 0.0001010766],[-0.003734312 -2.917802E-09 2.959916E-07]
[-0.0004492419 0.1001442 -0.002773193],[0.9986889 0.0511915 3.959929E-05 -1.747578E-06],[-2.861891E-09 3.219226E-06 -3.607849E-05],[0.00133293 1.567359E-09 -1.056237E-07]
[-0.0004492422 0.1001445 -0.002776786],[0.9986855 0.0512578 3.959917E-05 -1.750204E-06],[-1.42536E-08 1.601898E-05 -0.0001796885],[0.006638628 3.041224E-09 -5.263343E-07]
[-0.0004492427 0.1001451 -0.002783295],[0.9986793 0.05137787 3.959896E-05 -1.754967E-06],[-2.581677E-08 2.905797E-05 -0.00032546],[0.01202434 7.132738E-09 -9.532174E-07]
[-0.0004492435 0.1001459 -0.002792682],[0.9986704 0.05155104 3.959866E-05 -1.761833E-06],[-3.722933E-08 4.202105E-05 -0.0004693317],[0.01734017 1.040353E-08 -1.37456E-06]
[-0.0004492444 0.100147 -0.002804833],[0.9986588 0.05177522 3.959826E-05 -1.770722E-06],[-4.819287E-08 5.461416E-05 -0.0006075421],[0.02244729 1.189819E-08 -1.779483E-06]
[-0.0004492456 0.1001484 -0.002819566],[0.9986447 0.05204706 3.959778E-05 -1.781501E-06],[-5.843809E-08 6.654914E-05 -0.0007366958],[0.02722031 1.585128E-08 -2.157863E-06]
[-0.000449247 0.1001499 -0.002836642],[0.9986281 0.05236211 3.959721E-05 -1.793993E-06],[-6.77282E-08 7.760754E-05 -0.0008538076],[0.03154904 1.760325E-08 -2.500996E-06]
[-0.0004492485 0.1001517 -0.002855768],[0.9986096 0.05271502 3.959658E-05 -1.807987E-06],[-7.586281E-08 8.753162E-05 -0.0009563515],[0.03534019 1.932958E-08 -2.801552E-06]
[-0.0004492501 0.1001536 -0.002876613],[0.9985892 0.05309966 3.959588E-05 -1.823239E-06],[-8.267983E-08 9.614293E-05 -0.001042283],[0.03851816 2.102273E-08 -3.053546E-06]
[-0.0004492519 0.1001557 -0.002898813],[0.9985674 0.05350934 3.959512E-05 -1.839482E-06],[-8.805691E-08 0.0001032527 -0.001110062],[0.04102584 2.270285E-08 -3.252215E-06]
[-0.0004492537 0.1001579 -0.002921985],[0.9985444 0.05393696 3.959433E-05 -1.856437E-06],[-9.191123E-08 0.0001087341 -0.001158644],[0.04282466 2.448359E-08 -3.394914E-06]
[-0.0004492556 0.1001601 -0.002945734],[0.9985206 0.05437526 3.959352E-05 -1.873819E-06],[-9.420008E-08 0.0001124631 -0.00118749],[0.04389434 2.573444E-08 -3.47959E-06]
[-0.0004492575 0.1001624 -0.002969664],[0.9984964 0.05481692 3.959268E-05 -1.891329E-06],[-9.491826E-08 0.0001143842 -0.001196536],[0.04423242 2.40884E-08 -3.506539E-06]
[-0.0004492594 0.1001647 -0.002993386],[0.9984724 0.0552548 3.959184E-05 -1.908695E-06],[-9.409752E-08 0.0001144571 -0.001186182],[0.0438534 2.576271E-08 -3.476364E-06]
[-0.0004492612 0.100167 -0.003016531],[0.9984486 0.05568201 3.959102E-05 -1.925635E-06],[-9.180193E-08 0.0001126843 -0.001157237],[0.04278696 2.412585E-08 -3.391867E-06]
[-0.000449263 0.1001692 -0.003038747],[0.9984257 0.05609214 3.959024E-05 -1.941899E-06],[-8.812657E-08 0.0001091234 -0.001110899],[0.04107707 2.360682E-08 -3.256378E-06]
[-0.0004492647 0.1001713 -0.00305972],[0.9984038 0.05647932 3.958948E-05 -1.957248E-06],[-8.319199E-08 0.0001038928 -0.001048689],[0.03877998 2.194147E-08 -3.074275E-06]
[-0.0004492662 0.1001732 -0.003079168],[0.9983835 0.05683837 3.958877E-05 -1.971487E-06],[-7.714208E-08 9.709848E-05 -0.0009724208],[0.03596237 1.987998E-08 -2.850812E-06]
[-0.0004492676 0.100175 -0.003096849],[0.9983648 0.05716483 3.958813E-05 -1.984431E-06],[-7.013766E-08 8.891757E-05 -0.0008841214],[0.03269919 1.938673E-08 -2.592155E-06]
[-0.0004492688 0.1001766 -0.003112569],[0.9983481 0.05745507 3.958754E-05 -1.995938E-06],[-6.235349E-08 7.957475E-05 -0.0007859942],[0.0290719 1.553552E-08 -2.304624E-06]
[-0.0004492699 0.100178 -0.003126175],[0.9983337 0.05770632 3.958704E-05 -2.005906E-06],[-5.397299E-08 6.927701E-05 -0.0006803516],[0.02516593 1.307466E-08 -1.995003E-06]
[-0.0004492708 0.1001791 -0.003137566],[0.9983214 0.05791664 3.958662E-05 -2.014244E-06],[-4.518419E-08 5.827915E-05 -0.000569563],[0.02106901 1.195544E-08 -1.670156E-06]
[-0.0004492716 0.1001801 -0.003146686],[0.9983116 0.05808505 3.958628E-05 -2.020922E-06],[-3.617504E-08 4.686373E-05 -0.0004559979],[0.01686881 9.606462E-09 -1.337293E-06]
[-0.0004492721 0.1001808 -0.003153525],[0.9983043 0.05821135 3.958601E-05 -2.025932E-06],[-2.712996E-08 3.525789E-05 -0.000341981],[0.01265134 8.022855E-09 -1.002933E-06]
[-0.0004492725 0.1001813 -0.00315812],[0.9982994 0.05829619 3.958585E-05 -2.029294E-06],[-1.822474E-08 2.373745E-05 -0.0002297278],[0.008498848 3.854133E-09 -6.737965E-07]
[-0.0004492727 0.1001815 -0.003160546],[0.9982967 0.058341 3.958575E-05 -2.031073E-06],[-9.625003E-09 1.256455E-05 -0.0001213255],[0.004488553 1.980071E-09 -3.557722E-07]
[-0.0004492727 0.1001815 -0.00316092],[0.9982963 0.0583479 3.958574E-05 -2.031345E-06],[-1.481673E-09 1.93607E-06 -1.867679E-05],[0.0006909674 4.763055E-10 -5.472038E-08]
[-0.0004492726 0.1001814 -0.003159389],[0.998298 0.05831964 3.958579E-05 -2.030222E-06],[6.070795E-09 -7.929781E-06 7.65239E-05],[-0.002831081 -1.854348E-09 2.244638E-07]
[-0.0004492723 0.1001811 -0.003156133],[0.9983015 0.05825951 3.958594E-05 -2.027837E-06],[1.291631E-08 -1.686688E-05 0.0001628132],[-0.006023495 -3.641755E-09 4.775194E-07]
[-0.0004492719 0.1001806 -0.003151353],[0.9983066 0.05817124 3.958611E-05 -2.02434E-06],[1.89597E-08 -2.472128E-05 0.000238992],[-0.008841683 -5.87353E-09 7.009161E-07]
[-0.0004492714 0.1001799 -0.003145271],[0.9983132 0.05805892 3.958634E-05 -2.019889E-06],[2.412634E-08 -3.141078E-05 0.0003041191],[-0.01125093 -5.43999E-09 8.919951E-07]
[-0.0004492709 0.1001792 -0.00313812],[0.9983209 0.05792688 3.958661E-05 -2.014649E-06],[2.836399E-08 -3.68496E-05 0.0003575363],[-0.01322679 -7.680199E-09 1.0485E-06]
[-0.0004492702 0.1001784 -0.003130143],[0.9983294 0.05777958 3.95869E-05 -2.008807E-06],[3.164134E-08 -4.099401E-05 0.0003988491],[-0.01475473 -9.081038E-09 1.169612E-06]
[-0.0004492696 0.1001775 -0.003121584],[0.9983385 0.05762154 3.958722E-05 -2.00254E-06],[3.394945E-08 -4.385336E-05 0.0004279446],[-0.01583058 -9.017834E-09 1.254914E-06]
[-0.0004492688 0.1001766 -0.003112685],[0.998348 0.05745722 3.958755E-05 -1.996026E-06],[3.529872E-08 -4.546268E-05 0.0004449534],[-0.01645922 -8.585361E-09 1.304804E-06]
[-0.0004492681 0.1001757 -0.00310368],[0.9983576 0.05729095 3.958787E-05 -1.989434E-06],[3.571967E-08 -4.585007E-05 0.0004502607],[-0.01665498 -8.544292E-09 1.320286E-06]
[-0.0004492674 0.1001748 -0.003094791],[0.9983669 0.05712681 3.95882E-05 -1.982922E-06],[3.52601E-08 -4.510702E-05 0.000444469],[-0.01644016 -8.89692E-09 1.303342E-06]
[-0.0004492668 0.1001739 -0.003086222],[0.9983761 0.05696863 3.958853E-05 -1.976653E-06],[3.398307E-08 -4.333199E-05 0.0004283724],[-0.01584428 -8.459204E-09 1.256026E-06]
[-0.0004492661 0.1001731 -0.003078164],[0.9983844 0.05681984 3.958882E-05 -1.970751E-06],[3.19657E-08 -4.063509E-05 0.0004029433],[-0.01490326 -8.308202E-09 1.181371E-06]
[-0.0004492655 0.1001724 -0.003070777],[0.9983923 0.05668348 3.958908E-05 -1.965344E-06],[2.929613E-08 -3.713244E-05 0.0003692929],[-0.01365825 -8.705159E-09 1.082723E-06]
[-0.000449265 0.1001717 -0.003064205],[0.9983991 0.05656212 3.958932E-05 -1.960534E-06],[2.607167E-08 -3.294924E-05 0.0003286475],[-0.01215463 -6.434167E-09 9.634877E-07]
[-0.0004492646 0.1001711 -0.003058558],[0.998405 0.05645788 3.958953E-05 -1.956401E-06],[2.239543E-08 -2.823528E-05 0.000282307],[-0.01044051 -5.203034E-09 8.276106E-07]
[-0.0004492642 0.1001707 -0.003053926],[0.9984099 0.05637237 3.95897E-05 -1.953009E-06],[1.837475E-08 -2.31117E-05 0.0002316246],[-0.008565985 -4.78654E-09 6.790573E-07]
[-0.0004492639 0.1001703 -0.003050367],[0.9984135 0.05630665 3.958981E-05 -1.950404E-06],[1.411806E-08 -1.773198E-05 0.0001779666],[-0.006581466 -2.918822E-09 5.217618E-07]
[-0.0004492637 0.1001701 -0.003047912],[0.9984161 0.05626135 3.958989E-05 -1.948605E-06],[9.732934E-09 -1.220372E-05 0.0001226896],[-0.004537149 -3.255803E-09 3.597116E-07]
[-0.0004492636 0.1001699 -0.00304657],[0.9984176 0.05623658 3.958996E-05 -1.947626E-06],[5.323291E-09 -6.675819E-06 6.710338E-05],[-0.002481563 -1.442674E-09 1.967855E-07]
[-0.0004492636 0.1001699 -0.003046322],[0.9984178 0.05623198 3.958996E-05 -1.947439E-06],[9.882456E-10 -1.239483E-06 1.245752E-05],[-0.0004607115 -9.772088E-10 3.650525E-08]
[-0.0004492636 0.10017 -0.003047123],[0.998417 0.05624678 3.958993E-05 -1.94803E-06],[-3.179796E-09 3.979537E-06 -4.008341E-05],[0.001482274 4.65343E-10 -1.175136E-07]
[-0.0004492638 0.1001702 -0.003048913],[0.9984151 0.05627982 3.958988E-05 -1.949338E-06],[-7.098115E-09 8.896187E-06 -8.947613E-05],[0.003308859 2.778346E-09 -2.622433E-07]
[-0.000449264 0.1001705 -0.003051609],[0.9984123 0.05632959 3.958978E-05 -1.951311E-06],[-1.06932E-08 1.341109E-05 -0.0001347943],[0.004984837 3.112634E-09 -3.951795E-07]
[-0.0004492643 0.1001708 -0.003055114],[0.9984087 0.0563943 3.958965E-05 -1.953877E-06],[-1.390322E-08 1.744842E-05 -0.0001752584],[0.006481254 2.700699E-09 -5.138309E-07]
[-0.0004492646 0.1001712 -0.003059319],[0.9984043 0.05647192 3.958949E-05 -1.956956E-06],[-1.667714E-08 2.095394E-05 -0.0002102253],[0.00777445 4.106235E-09 -6.163559E-07]
[-0.000449265 0.1001717 -0.003064103],[0.9983993 0.05656024 3.958933E-05 -1.960457E-06],[-1.897645E-08 2.3887E-05 -0.0002392093],[0.008846526 4.206168E-09 -7.013871E-07]
