r,y,e,u,d
[0.039946478466597 0.0399469932914801 0.039936220474065 0.0399352138899945],[0.0399320877899896 0.0399440270566269 0.0399498921102611 0.03993817567389],[1.43906766074051E-05 2.96623485319947E-06 -1.36716361961303E-05 -2.9617838954582E-06],[462.23465554064 462.302634461324 462.3349463755 462.268192228518],[0.0 0.0 0.0 0.0]
[0.039913123854901 0.0399481131360212 0.0399695429189998 0.0399340937944337],[0.0399323309609166 0.0399440771869334 0.0399496610387324 0.0399381256225038],[-1.92071060156687E-05 4.0359490878078E-06 1.98818802674833E-05 -4.03182807007935E-06],[462.232777085288 462.303029177225 462.336890823787 462.267797915652],[0.0 0.0 0.0 0.0]
[0.0398814058725334 0.0399491092162478 0.0400012247533838 0.0399330974739698],[0.0399320064030433 0.0399441453957992 0.0399499970730899 0.0399380574884192],[-5.06005305099255E-05 4.9638204486363E-06 5.12276802938985E-05 -4.96001444939137E-06],[462.227828352394 462.303514638964 462.341900891943 462.26731282614],[0.0 0.0 0.0 0.0]
[0.0398517343712816 0.0399499526879409 0.0400308567496312 0.0399322537767112],[0.039931151371615 0.0399442292860756 0.0399508629061938 0.0399379736689417],[-7.94170003334607E-05 5.72340186526243E-06 7.99938434373967E-05 -5.71989223045744E-06],[462.220061368175 462.304074387781 462.349724291428 462.266753420566],[0.0 0.0 0.0 0.0]
[0.039824510073374 0.039950609515827 0.0400580391125085 0.0399315967428004],[0.0399298094272414 0.0399443260136492 0.0399522149541224 0.039937877008369],[-0.000105299353867452 6.28350217773271E-06 0.000105824158386093 -6.28026556864086E-06],[462.209763089264 462.30468891442 462.360073896232 462.266139210468],[0.0 0.0 0.0 0.0]
[0.0398000991121105 0.0399511331546052 0.040082406878199 0.0399310729146012],[0.0399280301719998 0.0399444322072567 0.0399540036185988 0.0399377708781709],[-0.0001279310598893 6.70094734850357E-06 0.00012840325960025 -6.69796356972396E-06],[462.197251429052 462.305344267204 462.372631737585 462.265484149497],[0.0 0.0 0.0 0.0]
[0.0397785598884391 0.0399515283348116 0.0401039027021081 0.0399306775622558],[0.0399258685595679 0.0399445454560039 0.0399561739740462 0.0399376576894504],[-0.000147308671128797 6.98287880765425E-06 0.000147728728061951 -6.98012719455021E-06],[462.182844638073 462.306027192891 462.38707961014 462.264801492918],[0.0 0.0 0.0 0.0]
[0.0397602342425704 0.0399516792686657 0.0401221861356122 0.0399305264859573],[0.0399233796019786 0.0399446634696788 0.0399586710540589 0.0399375397326244],[-0.000163145359408208 7.01579898693822E-06 0.000163515081553274 -7.01324666708275E-06],[462.166889018665 462.306713338172 462.403071388382 462.264115597254],[0.0 0.0 0.0 0.0]
[0.0397451857571297 0.0399517980572917 0.0401371947385807 0.0399304075645146],[0.0399206231549905 0.0399447820398945 0.0399614350640613 0.0399374212162895],[-0.000175437397860752 7.01601739717256E-06 0.000175759674519459 -7.01365177484953E-06],[462.14973123765 462.307399504814 462.42026068806 462.26342966197],[0.0 0.0 0.0 0.0]
[0.0397337357709507 0.0399516828308888 0.0401486086106681 0.0399305226882485],[0.0399176591322009 0.0399449006139774 0.0399644061595964 0.0399373026932845],[-0.000183923361250213 6.78221691140929E-06 0.000184202451071702 -6.78000503599036E-06],[462.131743529247 462.308062805763 462.438275691453 462.262766577342],[0.0 0.0 0.0 0.0]
[0.0397257971118604 0.0399514381178888 0.0401565157552321 0.0399307673183113],[0.0399145518568284 0.0399450152368865 0.0399675200929505 0.0399371881188198],[-0.000188754744968003 6.42288100236033E-06 0.000188995662281581 -6.42080050854144E-06],[462.113283311419 462.308690963653 462.456759470999 462.262138622924],[0.0 0.0 0.0 0.0]
[0.0397213897220438 0.0399510597684206 0.0401608970430306 0.0399311456046511],[0.039911363083863 0.0399451237869879 0.0399707151813904 0.0399370796146594],[-0.00018997336181914 5.93598143274615E-06 0.00019018186164018 -5.93401000828497E-06],[462.094703912839 462.309271502756 462.475359260866 462.261558276627],[0.0 0.0 0.0 0.0]
[0.0397202759786683 0.0399505240004855 0.040161990336708 0.039931681330945],[0.0399081538525221 0.039945224108359 0.0399739304521741 0.0399369793368309],[-0.000187877873853805 5.29989212651877E-06 0.000188059884533888 -5.29800588590368E-06],[462.076329453024 462.309789832312 462.493751521329 462.261040131545],[0.0 0.0 0.0 0.0]
[0.0397226330984566 0.0399497807458747 0.0401596191078817 0.0399324245689972],[0.0399049801472882 0.0399453136795753 0.0399771099753434 0.0399368898068345],[-0.000182347048831584 4.46706629940452E-06 0.000182509132538346 -4.46523783731445E-06],[462.058495908007 462.310226711485 462.511600918136 462.260603431196],[0.0 0.0 0.0 0.0]
[0.0397282276160712 0.039949030125774 0.0401540166722616 0.0399331751766618],[0.0399018999915575 0.0399453891756355 0.0399801957730064 0.0399368143497054],[-0.000173672375486315 3.64095013853649E-06 0.000173820899255266 -3.63917304357919E-06],[462.041510746216 462.310582796481 462.528600605555 462.260247519999],[0.0 0.0 0.0 0.0]
[0.0397368590704472 0.0399481608446223 0.0401453831863845 0.0399340444588635],[0.0398989664765314 0.0399454507098972 0.0399831347839201 0.0399367528521268],[-0.000162107406084251 2.71013472510212E-06 0.000162248402464385 -2.70839326326627E-06],[462.025656638663 462.310847847712 462.544468502556 462.259982639084],[0.0 0.0 0.0 0.0]
[0.0397482617587345 0.0399471684941787 0.040133983763195 0.0399350368221914],[0.0398962284037027 0.0399454965128456 0.0399858782213926 0.0399367070836201],[-0.00014796664496821 1.67198133314145E-06 0.000148105541802473 -1.67026142867954E-06],[462.01118549783 462.311011367519 462.558953227502 462.259819287483],[0.0 0.0 0.0 0.0]
[0.0397621656041493 0.0399461592655653 0.0401200877353152 0.0399360460646311],[0.0398937292572154 0.0399455247703745 0.0399883826012128 0.0399366788582744],[-0.000131563653066137 6.34495190873774E-07 0.000131705134102385 -6.32793643359775E-07],[461.998318569933 462.311073421162 462.571833992248 462.259757400252],[0.0 0.0 0.0 0.0]
[0.0397783735479092 0.0399450577041408 0.0401038914127612 0.0399371476454339],[0.0398915072218785 0.0399455354937421 0.0399906097254179 0.0399366681648497],[-0.000113133673969305 -4.77789601285861E-07 0.000113281687343279 4.79480584202052E-07],[461.987254094359 462.311026693329 462.582912943532 462.259804293463],[0.0 0.0 0.0 0.0]
[0.0397965137100042 0.0399438856829567 0.0400857655868699 0.0399383196876968],[0.0398895965079032 0.0399455274187973 0.0399925253600942 0.0399366762674745],[-9.30827978989773E-05 -1.64173584060734E-06 9.32402267757454E-05 1.6434202223109E-06],[461.978150594866 462.310866131531 462.592031839573 462.259965019993],[0.0 0.0 0.0 0.0]
[0.0398163308980947 0.0399426847532433 0.0400659645023275 0.0399395206355001],[0.0398880244673736 0.0399454996724351 0.0399941021207808 0.0399367040392361],[-7.16935692788509E-05 -2.81491919180976E-06 7.1862381546689E-05 2.81659626402003E-06],[461.971138962358 462.310590832378 462.599059981924 462.260240483164],[0.0 0.0 0.0 0.0]
